| Company                            | Address                         | Town            | Postalcode        | Telephone                        | Web                                                         | Type         |
| ---------------------------------- | ------------------------------- | --------------- | ----------------- | -------------------------------- | ----------------------------------------------------------- | ------------ |
| BEVERLEY CAMERA CENTRE LTD         | 17 SWABYS YARD                  | BEVERLEY        | HU17 9BZ          | 01482 868243                     | https://www.beverleycameracentre.co.uk                      | B            |
| BRISTOL CAMERAS LTD                | 47 HIGH STREET                  | BRISTOL         | BS1 2AZ           | 01179 290435                     | https://www.bristolcameras.co.uk                            | B            |
| THE WILDLIFE TRUST BCN             | NENE WETLANDS VISITOR CENTRE    | RUSHDEN         | NN10 6FA          | 07903 029914                     | https://www.wildlifebcn.org/nene-wetlands                   | B            |
| CAMBRIAN PHOTOGRAPHY               | 87 ABERGELE ROAD                | COLWYN BAY      | LL29 7SA          | 01492 532510                     | https://www.cambrianphoto.co.uk                             | B            |
| CAMERATIKS                         | 122 MORNINGSIDE ROAD            | EDINBURGH       | EH10 4BX          | 0131 4472712                     | https://www.cameratiks.co.uk                                | B            |
| CAMERAS PLUS                       | 17A GOLD STREET                 | TIVERTON        | EX16 6QB          | 01884 255228                     | https://www.camerasplus.co.uk                               | B            |
| CLOCK TOWER CAMERAS                | 32 CHURCH ST                    | BRIGHTON        | BN1 1RL           | 01273 706010                     | https://www.clocktowercameras.co.uk                         | B            |
| JOSEPH COWPER LTD                  | 50 KING STREET                  | PENRITH         | CA11 7AY          | 01768 862063                     | https://www.cowperspenrith.co.uk                            | B            |
| DEPICTURE PHOTOSHOP                | 28 MARKET STREET                | FALMOUTH        | TR11 3AT          | 01326 211363                     | https://www.photoshopcornwall.com                           | B            |
| LOCKLEY LODGE WELSH WILDLIFE TRUST | MARTIN'S HAVEN                  | HAVERFORDWEST   | SA62 3BJ          | 01646 636800                     | https://www.welshwildlife.org/visitor-centres/lockley-lodge | B            |
| R. DOUGLAS                         | THE BANK                        | ISLES OF SCILLY | TR21 0HY          | 01720 422403                     | B                                                           | B            |
| WILDCARE                           | EASTGATE HOUSE                  | LONGBOROUGH     | GL56 0QJ          | 01451 833181                     | https://www.wildcare.co.uk                                  | B            |
| J GOULD & SON LTD                  | 82 ABBEY STREET                 | BANGOR          | BT20 4JB          | 028 91271091                     | B                                                           | B            |
| HOMELEIGH GARDEN CENTRE LTD        | DUTSON ROAD                     | LAUNCESTON      | PL15 9SP          | 01566 773147                     | https://www.homeleigh.co.uk                                 | B            |
| INTERSHOOT                         | UNIT E11 OMAGH BUSINESS COMPLEX | OMAGH           | BT78 5LU          | 028 82257509                     | https://www.intershoot.co.uk                                | B            |
| D H JAMES                          | 3 SADLER STREET                 | WELLS           | BA5 2RR           | 01749 678782                     | https://www.dhjames.co.uk                                   | B            |
| LONDON CAMERA EXCHANGE             | 7 STATION ROAD                  | READING         | RG1 1LG           | 0118 9592149                     | https://www.lcegroup.co.uk                                  | B            |
| LONDON CAMERA EXCHANGE             | 10-12 PROMENADE                 | CHELTENHAM      | GL50 1LR          | 01242 519851                     | https://www.lcegroup.co.uk                                  | B            |
| LONDON CAMERA EXCHANGE             | 174 FORE STREET                 | EXETER          | EX4 3AX           | 01392 279024                     | https://www.lcegroup.co.uk                                  | B            |
| MARRIOTT'S PHOTO STORE             | 42 WHITE ROCK                   | HASTINGS        | TN34 1JL          | 01424 436933                     | http://marriottsphotostores.co.uk                           | B            |
| MASSERS CAMERA SHOP                | 30 WHEELGATE                    | MALTON          | YO17 7HP          | 01653 692468                     | B                                                           | B            |
| MATHERS PHOTOGRAPHIC LTD           | 23 MARKET STREET                | BOLTON          | BL1 1BU           | 01204 522186                     | https://www.mathersoflancashire.co.uk                       | B            |
| MAGEES PHARMACY                    | 27 UPPER MAIN STREET            | LETTERKENNY     | 00 353 74 9121409 | https://magees.ie                | B                                                           | B            |
| NEWTON & NEWTON LTD                | 3 COLOMBERIE PARADE             | JE2 4QA         | 01534 733697      | B                                | No website Data                                             | No type Data |
| NATUREQUEST                        | YSTRAD MEURIG                   | CEREDIGION      | SY25 6AA          | 07752 926145                     | https://www.naturequest.co.uk                               | B            |
| R J PARKER & SON                   | 9-11 PORTSMOUTH ROAD            | WOOLSTON        | SO19 9RN          | 023 80434137                     | https://www.parkers-photo.com                               | B            |
| ST IVES CAMERA COMPANY             | 49 FORE STREET                  | ST. IVES        | TR26 1HE          | 01736 795276                     | https://www.stivescameracompany.co.uk                       | B            |
| SCOTTISH SEABIRD CENTRE            | THE HARBOUR                     | NORTH BERWICK   | EH39 4SS          | 01620 890202                     | https://www.seabird.org                                     | B            |
| WEX PHOTO VIDEO                    | FRENBURY ESTATE                 | NORWICH         | NR6 5DP           | 01603 481933                     | https://www.wexphotovideo.com                               | B            |
| WESSEX PHOTOGRAPHIC                | 9 SALISBURY STREET              | BLANDFORD FORUM | DT11 7AU          | 01258 458811                     | https://www.wessexphoto.com                                 | B            |
| GALWAY CAMERA                      | 1 WILLIAM STREET                | GALWAY          | 00 353 91 565 678 | https://www.galwaycamerashop.com | B                                                           | B            |
|                                    |                                 |                 |                   |                                  |                                                             |              |
